Clave de la entidad federativa,Entidad federativa,Clave del municipio,Municipio,Social.lag.index.2005,Level.Social.Lag.2005,Poverty.Pct.2010,Extreme.Poverty.Pct.2010,Moderate.Poverty.Pct.2010,Vulnerables.SocialCare.Pct.2010,Educ.Lag.Pct.2010,Lack.Access.To.HealthServices.Pct.2010
20,Oaxaca,20284,San Miguel TilquiÌÁpam,1.82377,High,95.58,71.98,23.61,4.31,57.62,94.88
20,Oaxaca,20285,San Miguel Tlacamama,0.67245,High,81.73,44.54,37.18,17.38,35.7,68.55
20,Oaxaca,20286,San Miguel Tlacotepec,0.84586,High,84.8,39.77,45.02,11.31,47.76,44.87
20,Oaxaca,20287,San Miguel Tulancingo,0.00167,Medium,73.01,21.61,51.4,8.02,41.57,50.6
20,Oaxaca,20288,San Miguel Yotao,0.7724,High,95.85,59.11,36.74,4.15,42.38,34.76
20,Oaxaca,20289,San NicolÌÁs,0.67572,High,82.59,31.53,51.05,17.31,47.93,13.95
20,Oaxaca,20290,San NicolÌÁs Hidalgo,-0.17709,Low,78.6,31.28,47.32,20.09,40.34,32.05
20,Oaxaca,20291,San Pablo CoatlÌÁn,0.9749,High,94.36,59.31,35.05,4.82,39.67,47.24
20,Oaxaca,20292,San Pablo Cuatro Venados,1.97049,Very High,96.58,61.83,34.75,3.42,29.6,8.19
20,Oaxaca,20293,San Pablo Etla,-1.34595,Very Low,30.01,4.67,25.34,33.43,7.91,30.49
20,Oaxaca,20294,San Pablo Huitzo,-0.62568,Low,64.84,16.2,48.64,23.28,20.01,29.23
20,Oaxaca,20295,San Pablo Huixtepec,-0.36225,Low,63.18,12.83,50.34,29.39,26.16,26.89
20,Oaxaca,20296,San Pablo Macuiltianguis,0.01415,Medium,79.68,32.82,46.86,17.19,41.83,41.5
20,Oaxaca,20297,San Pablo Tijaltepec,1.80845,High,95.86,73.48,22.37,3.85,32.81,61.69
20,Oaxaca,20298,San Pablo Villa de Mitla,0.27723,Medium,69.9,17.17,52.73,28.73,35.46,52.43
20,Oaxaca,20299,San Pablo Yaganiza,0.36939,Medium,85.83,32.16,53.67,13.81,37.5,45.75
20,Oaxaca,20300,San Pedro Amuzgos,0.89652,High,88.68,54.49,34.2,10.74,40.59,62.92
20,Oaxaca,20301,San Pedro ApÌ_stol,0.00752,Medium,64.44,27.85,36.59,35.56,37.31,32.98
20,Oaxaca,20302,San Pedro Atoyac,1.71006,High,94.89,71.03,23.86,4.04,43.42,84.12
20,Oaxaca,20303,San Pedro Cajonos,0.20415,Medium,87.26,36.6,50.66,11.62,36.6,67.75
20,Oaxaca,20304,San Pedro Coxcaltepec CÌÁntaros,0.92897,High,95.1,50.38,44.72,4.9,35.45,27.23
20,Oaxaca,20305,San Pedro Comitancillo,-1.21752,Very Low,49.67,4.9,44.76,14.03,19.4,14.38
20,Oaxaca,20306,San Pedro el Alto,1.95147,Very High,95.96,65.3,30.66,3.93,51.49,32.93
20,Oaxaca,20307,San Pedro Huamelula,0.25939,Medium,66.8,23.26,43.54,25.34,29.7,38.01
20,Oaxaca,20308,San Pedro Huilotepec,0.13481,Medium,78.49,31.35,47.14,9.04,28.91,28.14
